
 "a",333119,2,1945567,5177743,10,"جذور العرب","","","السعودية","20050923210750","","","230543",
 "a",1493301,1,900363,2267957,10,"الامازيغية","","","فرنسا","20070623205157","0131021504","20070623205157","0131022021",
 "a",551117,1,141113,2255567,10,"Younes FEDERER","","","المغرب","20120923045524","","","20200806201807",
 "a",1054023,2,1307048,1662933,10,"AL_Quds","","","فلسطين","20090430204233","","","09082225",
 "a",1993003,1,942728,1558126,10,"ABU N O O R","","","العراق","20081030131610","022157","150616","150551",
 "a",1649512,2,174866,1388415,10,"Read Madriid","","","العراق","20080802151740","","","162430",
 "a",602613,2,21656,1290805,10,"Sakr Taiz","","","الولايات المتحدة الأمريكية","20060513144818","072742","20060809140036","071700",
 "a",1870199,1,403620,1262747,10,"Mr_William","","","الجزائر","20080927153159","","","20160707195625",
 "a",2002307,2,157878,1208467,10,"tihal 222","","","","20130429121622","","","y213023",
 "a",1914139,1,409639,1202713,10,"Al CaTaLaNo","","","الجزائر","20081009185337","","","05145919",
 "a",82580,2,11976,1171892,10,"MR BRASH","","","فلسطين","20041031145443","","","231238",
 "a",1473873,2,1659409,1117716,10,"دكتور اسلام","","","الجزائر","20070617182103","","","193351",
 "a",142765,2,426292,1069553,10,"djamal eddinne","","","","20150206190230","095006","225112","225107",
 "a",1851806,1,135376,873196,10,"أسامة مدريدستا","","","أسبانيا","20091203185133","20141223073411","20091203185133","20130703021705",
 "a",2300064,1,353222,840054,10,"قحطاني سبورت 88","","","السعودية","20080213134836","20140612150647","20080213134836","20131231224320",
 "a",1095864,1,26352,804274,10,"سهر الساهر","","","العراق","20070130213329","","","20140408122447",
 "a",2312408,2,535356,791362,10,"ياباشا","","","","20100302004012","","","20200819005325",
 "a",1975175,1,120200,791175,10,"L AMA R","","","ألمانيا","20090626171848","","","20170318223424",
 "a",1961983,1,272992,750648,10,"عبد´الحليم","","","الجزائر","20081022013356","0125223044","20081022013356","20200915234946",
 "a",1655586,1,351496,724084,10,"إحساس نادر","","","الجزائر","20080803220050","0131234127","20080803220050","20200405233642",
 "a",1091501,1,675211,695980,10,"الشحرورة","","","جبل طارق","20080330203605","","","20190606023518",
 "a",657571,1,1543367,681135,10,"yasser777","","","مصر","20060617125901","","","09170707",
 "a",735221,1,91833,665186,10,"الظَاهرة","","","الكويت","20060803222658","","","20170420112024",
 "a",1216654,1,1081229,649965,10,"mehdi88","","","المغرب","20080504045747","","","20150604053708",
 "a",344897,1,129006,649436,10,"مهدي12","","","البحرين","20051006182654","20120325191152","20060809174249","20120325171857",
 "a",1193990,1,178388,644716,10,"زياد الأربيلي","","","العراق","20070314180724","","","20181120212212",
 "a",1633786,1,826134,632210,10,"جديدي رجاوي","","","المغرب","20090311000228","","","20151019213332",
 "a",1668572,1,490695,616012,10,"7ashash juv","","","الأردن","20070821030704","","","20120423015011",
 "a",378341,1,58658,594944,10,"نسر فلسطين","","","فلسطين","20051111150018","20180116215848","20060809185042","20180106003034",
 "a",1272944,1,455153,590362,10,"thamer1734","","","السعودية","20070411144247","y190908","20070411144247","20140412150112",
 "a",1364314,1,135984,585309,10,"IL CAPO2010","","","الجزائر","20110815025350","","","0101204411",
 "a",665254,1,2280482,553707,10,"جدوعلي أمينAliAminAli","","","","20100401160937","","","20181121010420",
 "a",1864614,1,155283,540072,10,"DeR StErN 1969","","","فرنسا","20090711022832","","","20140607132452",
 "a",1158212,1,954982,536510,10,"المحارب العنيد","","","الجزائر","20070225164118","06200547","20070225164118","20200809085753",
 "a",1113741,1,103610,511668,10,"ابو جمال الاهلاوى","","","مصر","20091216235849","20190510005437","20091216235849","20120111015546",
 "a",1280321,1,286810,507754,10,"7amouda Madridista","","","","20090502123718","","","20200516020029",
 "a",742200,1,1243,500050,10,"أم هبة","","","المغرب","20060808211305","","","20140717145013",
 "a",801426,1,1600348,496562,10,"مصطفى 62","","","الأردن","20060910211432","y202522","205649","205649",
 "a",1078020,1,88266,492532,10,"نسر النجوم","","","برمودا","20121221115847","","","221131",
 "a",1154593,1,286318,479794,10,"عماد","","","المغرب","20070224011516","","","20180914172419",
 "a",1756979,1,143034,468735,10,"محمد السلوادي عاشق الانتر","","","الأردن","20080830115400","20200924172430","20080830115400","20140720224816",
 "a",516449,1,331665,466840,10,"يغار الورد","","","البحرين","20060311000946","","","20140228211302",
 "a",1260717,1,1629951,462670,10,"ابوجنى الجوالده","","","الأردن","20080510233528","","","224735",
 "a",2306046,1,126740,462669,10,"JBR SUPER STAR","","","المغرب","20080215065619","","","20170315050014",
 "a",2397254,2,288389,456626,10,"Ezzaouini-Wins","","","المغرب","20130331172158","","","20200728011746",
 "a",2276262,1,161365,453155,10,"adhame-magiul","","","","20080206185505","","","20170717221724",
 "a",1876620,1,275659,452153,10,"MYsTeRiOusS","","","المغرب","20091015200313","","","163247",
